donor_id,subregion,method,Endothelial cell,Cardiomyocyte cell,Myelocyte,Fibroblast,Lymphocyte,Smooth muscle cell,Neuron,Pericyte,Adipocyte
AdultHeart1_52Y,Left ventricle,snRNA,115,189,612,105,84,184,0,0,0
AdultHeart2_47Y,Left ventricle,snRNA,99,33,139,383,95,297,0,115,0
N6,Left atria,snRNA,438,369,32,77,36,166,0,83,0
N9,Left atria,snRNA,201,323,13,85,4,35,0,42,0
N8,Left atria,snRNA,103,117,6,31,7,13,0,22,0
N11,Left atria,snRNA,164,321,4,46,7,23,0,29,0
N7,Left atria,snRNA,28,204,2,10,3,9,0,11,0
N10,Left atria,snRNA,254,147,7,44,12,35,0,54,0
N3,Left ventricle,snRNA,39,648,2,0,5,18,0,4,0
N2,Left ventricle,snRNA,281,417,3,5,11,51,0,22,0
N5,Left ventricle,snRNA,237,409,10,16,11,59,0,46,0
N4,Left ventricle,snRNA,91,180,7,6,1,18,0,20,0
N12,Left atria,snRNA,21,324,9,47,7,11,0,3,0
N1,Left ventricle,snRNA,310,138,11,19,30,36,0,31,0
Hua2020 Donor1,Interatrial septum,snRNA,1145,1195,1019,2046,167,697,246,946,158
Hua2020 Donor1,Interventricular septum,snRNA,2655,6479,2703,7649,357,477,379,1980,10
Hua2020 Donor1,Left atria,snRNA,818,1280,788,1865,162,467,170,680,172
Hua2020 Donor1,Left ventricle,snRNA,4030,9518,2589,8206,404,787,332,2508,71
Hua2020 Donor1,Right atria,snRNA,1360,1577,777,2527,159,354,332,515,19
Hua2020 Donor1,Right ventricle,snRNA,1374,4441,838,4243,104,415,196,1024,74
Hua2020 Donor2,Interatrial septum,snRNA,1441,3324,667,4802,0,414,338,571,8
Hua2020 Donor2,Interventricular septum,snRNA,3803,13748,444,2451,0,388,156,2353,5
Hua2020 Donor2,Left atria,snRNA,776,2067,440,2414,0,240,232,906,24
Hua2020 Donor2,Left ventricle,snRNA,3720,17734,1087,4340,0,467,328,1889,12
Hua2020 Donor2,Right atria,snRNA,1637,3818,656,2995,0,913,298,779,123
Hua2020 Donor2,Right ventricle,snRNA,1601,8574,1194,3539,0,447,196,992,133
Tucker2020 1600,Left atria,snRNA,1236,3368,1388,3913,11,449,64,803,201
Tucker2020 1600,Right atria,snRNA,1819,3776,1376,7058,37,234,60,596,164
Tucker2020 1666,Left atria,snRNA,269,1115,1061,3474,14,154,28,198,195
Tucker2020 1666,Left ventricle,snRNA,3311,2831,1241,4197,69,15,154,2141,0
Tucker2020 1666,Right ventricle,snRNA,1748,1784,732,2343,11,7,52,476,111
Tucker2020 1681,Left atria,snRNA,990,4042,724,5109,81,450,87,1907,826
Tucker2020 1681,Left ventricle,snRNA,1309,8861,626,4302,3,232,128,1302,1
Tucker2020 1681,Right atria,snRNA,1749,8659,761,3756,2,243,176,542,1
Tucker2020 1702,Left atria,snRNA,358,6052,688,2809,89,488,16,332,1409
Tucker2020 1702,Left ventricle,snRNA,884,3658,97,383,9,6,3,38,7
Tucker2020 1702,Right atria,snRNA,2244,8165,332,3385,9,388,13,93,109
Tucker2020 1702,Right ventricle,snRNA,850,5005,369,2303,11,38,2,456,171
Tucker2020 1708,Left atria,snRNA,509,4021,512,4818,4,575,56,606,318
Tucker2020 1708,Left ventricle,snRNA,702,7076,643,1452,26,45,16,564,335
Tucker2020 1708,Right atria,snRNA,367,4616,757,4074,9,187,25,218,233
Tucker2020 1708,Right ventricle,snRNA,167,3620,208,440,4,156,4,98,2239
Tucker2020 1723,Left atria,snRNA,364,2009,743,6540,79,1264,80,789,522
Tucker2020 1723,Left ventricle,snRNA,1538,10580,1157,3453,443,55,135,2006,329
Tucker2020 1723,Right atria,snRNA,1994,3623,869,7627,194,456,272,1049,184
Tucker2020 1723,Right ventricle,snRNA,1376,5191,515,2055,36,38,42,694,490
Tucker2020 1221,Left ventricle,snRNA,90,2225,165,652,1,5,4,119,6
Tucker2020 1221,Right atria,snRNA,598,1658,422,2307,74,86,60,291,1
Tucker2020 1221,Right ventricle,snRNA,1107,7734,852,1559,6,12,12,553,491
Sarah2020_H5,Interventricular septum,snRNA,794,4496,92,742,73,415,114,1597,8
Sarah2020_H5,Left atria,snRNA,253,368,232,306,86,89,28,495,147
Sarah2020_H5,Left ventricle,snRNA,1262,9943,146,1212,333,619,181,3397,46
Sarah2020_H5,Right atria,snRNA,276,360,102,388,106,137,52,152,272
Sarah2020_H5,Right ventricle,snRNA,265,4437,28,208,21,163,33,1267,1
Sarah2020_H6,Interventricular septum,snRNA,233,2301,133,407,110,114,44,419,7
Sarah2020_H6,Left atria,snRNA,219,576,99,593,63,220,46,261,298
Sarah2020_H6,Left ventricle,snRNA,704,8770,155,924,173,419,181,2621,32
Sarah2020_H6,Right atria,snRNA,239,824,64,602,89,116,81,159,34
Sarah2020_H6,Right ventricle,snRNA,100,1387,104,164,143,111,10,284,81
Sarah2020_H3,Interventricular septum,snRNA,153,3001,40,428,17,148,36,1123,3
Sarah2020_H3,Left atria,snRNA,637,965,345,721,178,511,100,1705,373
Sarah2020_H3,Left ventricle,snRNA,1135,5050,177,1162,59,409,139,3245,4
Sarah2020_H3,Right atria,snRNA,238,427,325,234,407,85,29,386,31
Sarah2020_H3,Right ventricle,snRNA,390,2404,59,462,46,128,44,987,26
Sarah2020_H2,Interventricular septum,snRNA,248,809,88,92,66,67,13,880,0
Sarah2020_H2,Left atria,snRNA,302,257,274,500,660,254,99,480,129
Sarah2020_H2,Left ventricle,snRNA,1489,2947,295,909,179,505,78,2576,145
Sarah2020_H2,Right atria,snRNA,124,94,118,276,201,44,21,134,24
Sarah2020_H2,Right ventricle,snRNA,333,2130,94,661,405,128,47,1026,110
Sarah2020_H7,Interventricular septum,snRNA,117,1815,96,468,9,175,35,910,7
Sarah2020_H7,Left atria,snRNA,328,3271,187,607,206,406,83,1129,48
Sarah2020_H7,Left ventricle,snRNA,648,4327,338,595,149,399,56,2992,116
Sarah2020_H7,Right atria,snRNA,220,198,173,289,76,41,82,128,145
Sarah2020_H7,Right ventricle,snRNA,277,4965,244,767,86,301,55,1838,23
Sarah2020_H4,Interventricular septum,snRNA,278,3288,39,288,5,165,20,1143,6
Sarah2020_H4,Left atria,snRNA,215,342,162,357,219,196,83,617,76
Sarah2020_H4,Left ventricle,snRNA,778,4926,210,531,102,646,114,3838,0
Sarah2020_H4,Right atria,snRNA,298,258,151,353,204,253,93,396,20
Sarah2020_H4,Right ventricle,snRNA,220,1463,45,197,21,228,43,1084,0
Sarah2020_D1,Left atria,snRNA,52,404,22,355,0,10,31,148,6
Sarah2020_D1,Left ventricle,snRNA,799,5849,220,1569,59,98,23,1503,67
Sarah2020_D1,Right ventricle,snRNA,121,1840,124,799,15,6,14,385,13
Sarah2020_D2,Interventricular septum,snRNA,364,4575,78,840,14,55,27,738,3
Sarah2020_D2,Left atria,snRNA,835,1228,323,3982,182,110,97,1076,268
Sarah2020_D2,Left ventricle,snRNA,1409,5418,730,4460,169,154,122,2781,179
Sarah2020_D2,Right atria,snRNA,579,1214,163,1764,59,45,110,220,37
Sarah2020_D2,Right ventricle,snRNA,500,2595,130,1554,38,115,48,1222,24
H0015_apex,Left ventricle,snRNA,739,4900,114,738,72,263,91,1508,43
H0015_LA_new,Left atria,snRNA,253,368,229,306,94,89,28,495,147
H0015_LV,Left ventricle,snRNA,523,5043,173,474,268,356,90,1889,3
H0015_RA,Right atria,snRNA,276,360,101,388,108,137,52,152,272
H0015_RV,Right ventricle,snRNA,265,4437,40,208,25,163,33,1267,1
H0015_septum,Interventricular septum,snRNA,794,4496,144,742,76,415,114,1597,8
H0020_apex,Left ventricle,snRNA,142,1648,65,194,63,109,34,807,10
H0020_LA_new,Left atria,snRNA,219,576,102,593,70,220,46,261,298
H0020_LV,Left ventricle,snRNA,562,7122,192,730,117,310,147,1814,22
H0020_RA,Right atria,snRNA,239,824,65,602,89,116,81,159,34
H0020_RV,Right ventricle,snRNA,100,1387,151,164,146,111,10,284,81
H0020_septum,Interventricular septum,snRNA,233,2301,166,407,111,114,44,419,7
H0025_apex,Left ventricle,snRNA,117,1082,122,131,38,83,13,690,1
H0025_LA,Left atria,snRNA,637,965,336,721,187,511,100,1705,373
H0025_LV,Left ventricle,snRNA,1018,3968,194,1031,35,326,126,2555,3
H0025_RA,Right atria,snRNA,238,427,319,234,414,85,29,386,31
H0025_RV,Right ventricle,snRNA,390,2404,99,462,49,128,44,987,26
H0025_septum,Interventricular septum,snRNA,153,3001,111,428,23,148,36,1123,3
H0026_apex,Left ventricle,snRNA,522,697,132,328,111,86,19,889,137
H0026_LA,Left atria,snRNA,302,257,307,500,668,254,99,480,129
H0026_LV_V3,Left ventricle,snRNA,967,2250,224,581,111,419,59,1687,8
H0026_RA,Right atria,snRNA,124,94,123,276,201,44,21,134,24
H0026_RV,Right ventricle,snRNA,333,2130,126,661,412,128,47,1026,110
H0026_septum2,Interventricular septum,snRNA,248,809,105,92,73,67,13,880,0
H0035_apex,Left ventricle,snRNA,174,730,155,290,81,139,24,1310,111
H0035_LA,Left atria,snRNA,328,3271,239,607,217,406,83,1129,48
H0035_LV,Left ventricle,snRNA,474,3597,248,305,93,260,32,1682,5
H0035_RA,Right atria,snRNA,220,198,167,289,89,41,82,128,145
H0035_RV,Right ventricle,snRNA,277,4965,245,767,104,301,55,1838,23
H0035_septum,Interventricular septum,snRNA,117,1815,114,468,16,175,35,910,7
H0037_Apex,Left ventricle,snRNA,199,1835,115,132,62,227,39,1274,0
H0037_RA_corr,Right atria,snRNA,298,258,151,353,209,253,93,396,20
H0037_LV,Left ventricle,snRNA,579,3091,139,399,56,419,75,2564,0
H0037_LA_corr,Left atria,snRNA,215,342,172,357,223,196,83,617,76
H0037_RV,Right ventricle,snRNA,220,1463,52,197,25,228,43,1084,0
H0037_septum,Interventricular septum,snRNA,278,3288,51,288,7,165,20,1143,6
HCAHeart7664652,Left ventricle,snRNA,114,2734,48,329,30,25,11,655,8
HCAHeart7698015,Left ventricle,snRNA,150,2272,41,575,21,5,9,251,1
HCAHeart7698016,Right ventricle,snRNA,121,1840,117,799,24,6,14,385,13
HCAHeart7698017,Left atria,snRNA,51,404,21,355,1,10,31,148,6
HCAHeart7964513,Left ventricle,snRNA,434,843,135,653,15,28,3,549,58
HCAHeart7656539,Interventricular septum,snRNA,120,2480,28,313,4,28,8,362,3
HCAHeart7664653,Left ventricle,snRNA,190,1035,206,701,46,55,19,1064,7
HCAHeart7702873,Left ventricle,snRNA,264,1327,103,1319,28,43,29,486,28
HCAHeart7702874,Right ventricle,snRNA,234,1287,54,737,27,56,26,621,12
HCAHeart7702875,Right ventricle,snRNA,266,1308,64,817,26,59,22,601,12
HCAHeart7702876,Left atria,snRNA,366,616,174,2030,94,53,57,548,141
HCAHeart7702877,Left atria,snRNA,388,612,197,1952,116,57,40,528,127
HCAHeart7702878,Right atria,snRNA,277,595,76,856,35,19,58,95,16
HCAHeart7702879,Right atria,snRNA,302,619,81,908,34,26,52,125,21
HCAHeart7702880,Interventricular septum,snRNA,244,2095,45,527,15,27,19,376,0
HCAHeart7702881,Left ventricle,snRNA,510,1544,226,1228,69,33,43,616,70
HCAHeart7702882,Left ventricle,snRNA,445,1512,193,1212,64,23,31,615,74
HCAHeart7664654,Left ventricle,snRNA,390,901,261,881,91,14,26,755,6
HCAHeart7757636,Left ventricle,snRNA,1,421,0,0,0,0,0,2,1
HCAHeart7757637,Right ventricle,snRNA,3,246,0,0,0,0,0,0,0
HCAHeart7757638,Left atria,snRNA,5,224,0,0,0,0,0,1,2
HCAHeart7757639,Interventricular septum,snRNA,184,743,81,418,7,15,7,254,3
HCAHeart7829976,Right atria,snRNA,1133,1208,193,1757,33,61,78,251,42
HCAHeart7829977,Left ventricle,snRNA,225,1484,265,517,8,49,24,1186,30
HCAHeart7985086,Left ventricle,snRNA,311,251,235,397,37,4,1,306,1
HCAHeart7985087,Right ventricle,snRNA,68,781,41,149,4,17,3,207,8
HCAHeart7985088,Left atria,snRNA,155,635,64,190,11,19,7,231,10
HCAHeart7985089,Right atria,snRNA,125,589,78,242,4,14,6,91,7
HCAHeart7829978,Left ventricle,snRNA,303,2132,125,614,11,59,19,756,17
HCAHeart7829979,Right ventricle,snRNA,252,2011,229,2095,60,25,26,503,40
HCAHeart7833852,Left atria,snRNA,156,1700,120,798,4,158,147,1074,70
HCAHeart7833853,Right atria,snRNA,534,621,142,1297,35,232,90,183,15
HCAHeart7833854,Interventricular septum,snRNA,292,1482,112,1385,20,45,55,900,3
HCAHeart7833855,Left ventricle,snRNA,650,2001,126,1348,9,26,18,932,91
HCAHeart7835148,Left ventricle,snRNA,266,2916,210,1262,34,28,25,521,49
HCAHeart7835149,Right ventricle,snRNA,76,2397,60,240,1,50,5,816,5
HCAHeart7836681,Left atria,snRNA,156,1307,59,377,0,59,56,518,21
HCAHeart7836682,Right atria,snRNA,591,1190,116,1415,3,35,44,75,9
HCAHeart7836683,Interventricular septum,snRNA,134,983,197,1171,16,27,9,338,2
HCAHeart7836684,Left ventricle,snRNA,186,1851,73,769,2,11,10,511,11
HCAHeart7880860,Left ventricle,snRNA,156,901,45,100,32,2,2,78,1
HCAHeart7880861,Right ventricle,snRNA,200,1067,208,380,77,20,9,149,59
HCAHeart7880862,Left atria,snRNA,388,1896,50,706,13,45,48,288,44
HCAHeart7880863,Right atria,snRNA,202,220,53,271,24,16,20,23,3
HCAHeart7888926,Interventricular septum,snRNA,391,1907,146,97,96,48,8,258,0
HCAHeart7888927,Left ventricle,snRNA,335,1616,125,301,39,11,10,419,39
HCAHeart7888922,Left ventricle,snRNA,333,1595,101,398,15,3,9,180,0
HCAHeart7888923,Right atria,snRNA,462,1450,73,723,15,49,23,54,20
HCAHeart7888924,Interventricular septum,snRNA,209,1347,89,66,9,21,1,272,1
HCAHeart7888925,Left ventricle,snRNA,242,1025,111,595,18,3,4,248,2
HCAHeart7888928,Right ventricle,snRNA,432,1888,140,779,123,36,15,455,16
HCAHeart7888929,Left atria,snRNA,531,1325,105,554,105,48,46,384,45
HCAHeart8287123,Left atria,snRNA,50,274,18,70,2,8,8,56,12
HCAHeart8287124,Left ventricle,snRNA,9,143,18,58,2,1,0,45,0
HCAHeart8287125,Right atria,snRNA,26,58,6,89,4,7,3,7,3
HCAHeart8287126,Right ventricle,snRNA,327,1304,248,812,37,37,24,552,0
HCAHeart8287127,Interventricular septum,snRNA,392,1937,159,1148,28,49,10,357,103
HCAHeart8287128,Left ventricle,snRNA,333,1223,240,1261,104,76,29,296,199
HCAHeart7606896,Left ventricle,rm-CM,101,0,2,12,0,40,0,48,0
HCAHeart7656534,Left ventricle,rm-CM,338,0,95,25,12,55,1,121,0
HCAHeart7656535,Right ventricle,rm-CM,186,0,11,2,2,55,0,62,0
HCAHeart7656536,Left atria,rm-CM,711,0,148,53,80,369,7,357,0
HCAHeart7656537,Interventricular septum,rm-CM,124,0,18,2,6,15,1,39,0
HCAHeart7656538,Left ventricle,rm-CM,183,0,151,16,98,268,0,180,0
HCAHeart7728604,Left ventricle,rm-CM,3,0,0,0,0,0,0,1,0
HCAHeart7728605,Right ventricle,rm-CM,13,0,0,0,1,5,0,4,0
HCAHeart7728606,Left atria,rm-CM,267,0,39,24,15,53,6,171,0
HCAHeart7728607,Right atria,rm-CM,194,0,21,12,35,27,13,80,0
HCAHeart7728608,Interventricular septum,rm-CM,227,0,1,4,0,22,1,74,0
HCAHeart7728609,Left ventricle,rm-CM,2,0,0,0,0,0,0,0,0
HCAHeart7745966,Left ventricle,rm-CM,491,0,16,10,58,59,0,238,0
HCAHeart7745967,Right ventricle,rm-CM,147,0,8,13,2,28,1,75,0
HCAHeart7745968,Left atria,rm-CM,924,0,48,327,29,222,44,667,0
HCAHeart7745969,Right atria,rm-CM,626,0,89,307,66,154,29,142,0
HCAHeart7745970,Interventricular septum,rm-CM,248,0,4,3,2,26,1,92,0
HCAHeart7751845,Left ventricle,rm-CM,393,0,15,39,9,68,0,214,0
HCAHeart7905327,Left ventricle,rm-CM,3894,0,26,74,73,94,14,354,0
HCAHeart7905328,Right ventricle,rm-CM,4727,0,57,225,70,311,29,681,0
HCAHeart7905329,Left atria,rm-CM,657,0,35,103,24,52,9,153,0
HCAHeart7905330,Right atria,rm-CM,1024,0,17,187,39,81,28,74,0
HCAHeart7905331,Interventricular septum,rm-CM,2590,0,24,30,34,46,8,114,0
HCAHeart7905332,Left ventricle,rm-CM,4082,0,41,177,46,217,9,234,0
HCAHeart7850539,Left ventricle,rm-CM,427,0,7,7,23,9,1,73,0
HCAHeart7850540,Right ventricle,rm-CM,1094,0,53,81,79,105,3,317,0
HCAHeart7850541,Left atria,rm-CM,406,0,32,35,46,56,8,145,0
HCAHeart7850542,Right atria,rm-CM,243,0,19,58,42,39,4,50,0
HCAHeart7850543,Interventricular septum,rm-CM,662,0,21,5,44,36,2,94,0
HCAHeart7850544,Left ventricle,rm-CM,427,0,19,26,29,38,0,112,0
HCAHeart8102865,Left ventricle,rm-CM,1301,0,14,24,10,77,2,291,0
HCAHeart8102866,Right ventricle,rm-CM,1433,0,19,53,18,92,3,369,0
HCAHeart8102864,Left atria,rm-CM,229,0,1,3,3,11,0,12,0
HCAHeart8102863,Right atria,rm-CM,174,0,2,29,7,21,2,16,0
HCAHeart8102867,Interventricular septum,rm-CM,884,0,7,15,15,30,2,118,0
HCAHeart8102868,Left ventricle,rm-CM,1864,0,59,249,30,193,10,448,0
HCAHeart7843999,Left ventricle,CD45+,3731,0,313,11,874,452,28,763,0
HCAHeart7844000,Right ventricle,CD45+,2139,0,224,14,436,241,55,523,0
HCAHeart7844001,Left atria,CD45+,5575,0,1855,187,1037,446,114,2785,0
HCAHeart7844002,Right atria,CD45+,632,0,290,26,770,57,12,105,0
HCAHeart7844003,Interventricular septum,CD45+,2933,0,258,14,325,187,30,967,0
HCAHeart7844004,Left ventricle,CD45+,7472,0,659,21,813,706,15,986,0
HCAHeart7850545,Left ventricle,CD45+,251,0,230,7,299,54,1,44,0
HCAHeart7850546,Right ventricle,CD45+,684,0,827,33,518,148,3,220,0
HCAHeart7850547,Left atria,CD45+,190,0,516,51,325,10,2,67,0
HCAHeart7850548,Right atria,CD45+,318,0,527,70,517,62,9,61,0
HCAHeart7850549,Interventricular septum,CD45+,688,0,717,10,779,141,1,142,0
HCAHeart7850551,Left ventricle,CD45+,1202,0,668,107,1104,233,2,336,0
HCAHeart8102859,Left ventricle,CD45+,865,0,32,3,34,10,2,326,0
HCAHeart8102860,Right ventricle,CD45+,922,0,27,2,25,11,3,526,0
HCAHeart8102858,Left atria,CD45+,1339,0,295,18,258,61,3,375,0
HCAHeart8102861,Interventricular septum,CD45+,5225,0,1275,27,1054,444,3,1262,0
HCAHeart8102862,Left ventricle,CD45+,6654,0,1077,26,477,532,3,2322,0
